상품명,쇼핑몰 상품 ID,네이버쇼핑 상품 ID,광고 계정 이름,광고 계정 ID,결과,결과 유형,결과당 비용,결과당 비용 유형,총비용,노출수,평균 CPM,클릭수,평균 CPC,클릭률(%),총 전환율(%),총 광고수익률(%)
스티커 주의 표지 놀이시설 이용 주의 휴대폰 사용금지 알림 스티커 반려동물 출입제한 어린이 놀이터 안전예방 표시 안내,4704337383,82248858241,hana1644,1872088,0,전환,0,전환당,0,1,0,0,0,0.00,0.00,0.00
화장실 청소중 복도 PE 입간판 상가 미끄럼주의 A형 간판 접이식 소형 노랑 무지,4702213714,82246734572,hana1644,1872088,0,전환,0,전환당,0,4,0,0,0,0.00,0.00,0.00
스티커 소방관진입창 스티커 소방대진입 반사지 단면 타격지점 스티커 세트,4700453237,82244974095,hana1644,1872088,0,전환,0,전환당,0,146,0,0,0,0.00,0.00,0.00
스티커 주차위반 경고장 1000장 아파트 스티커 일반접착 01,4652469566,82196990041,hana1644,1872088,0,전환,0,전환당,0,30,0,0,0,0.00,0.00,0.00
주차장 장애인 주차구역 전용구역 현수막 실사출력 과태료 현수막제작 일반나무,4649485008,82194005483,hana1644,1872088,0,전환,0,전환당,0,1,0,0,0,0.00,0.00,0.00
주차위반 경고장 대량 주문제작 일반접착 500장,4646472978,82190993453,hana1644,1872088,0,전환,0,전환당,0,6,0,0,0,0.00,0.00,0.00
스티커 주차금지 스티커 불법주차 주차 위반 경고장 강력접착 1000장,4645185386,82189705861,hana1644,1872088,0,전환,0,전환당,0,88,0,0,0,0.00,0.00,0.00
스티커 CCTV 투명 녹화중 스티커 촬영중 씨씨티비 촬영 안내 녹화중 표지,4645164619,82189685094,hana1644,1872088,0,전환,0,전환당,0,5,0,0,0,0.00,0.00,0.00
250x100mm 표지판 주의 표지 미끄럼주의 안내판 경고 주의 표지판 계단 이용시 조심 표시판 바닥 넘어짐 뛰지마세요 알림 문구 실사출력,4645005704,82189526179,hana1644,1872088,0,전환,0,전환당,0,1,0,0,0,0.00,0.00,0.00
200x200mm 표지판 추락 낙상위험 안내판 경고 표지판 포맥스 접근금지 사고예방 높은곳 올라가지마세요 알림판,4644998736,82189519211,hana1644,1872088,0,전환,0,전환당,0,1,0,0,0,0.00,0.00,0.00
250x100mm 표지판 출입금지 안내 외부인 출입금지 표지판 통제구역 경고 안내판 진입 주의 관계자 진입 표시 실사출력,4644985915,82189506390,hana1644,1872088,0,전환,0,전환당,0,1,0,0,0,0.00,0.00,0.00
200x200mm 표지판 계단 층표시 안내판 층별 안내도 층수 표지판 건물 아파트 내부 표시판 층안내판,4644887899,82189408374,hana1644,1872088,0,전환,0,전환당,0,3,0,0,0,0.00,0.00,0.00
